2017-18 Teacher Salaries Report ,,,
District Name,District Code,salary_totals,avg_salary
Masconomet,7050000,"12,643,308","93,724"
Mashpee,1720000,"10,637,982","75,877"
Mattapoisett,1730000,"3,127,245","78,574"
Maynard,1740000,"8,244,750","83,703"
Medfield,1750000,"17,774,028","87,170"
Medford,1760000,"29,182,307","71,115"
Medway,1770000,"12,888,319","82,777"
Melrose,1780000,"17,797,151","65,624"
Mendon-Upton,7100000,"12,974,579","80,688"
Methuen,1810000,"38,623,923","77,778"
Middleborough,1820000,"16,680,182","74,134"
Middleton,1840000,"4,796,464","84,743"
Milford,1850000,"26,921,963","80,920"
Millbury,1860000,"10,363,260","78,928"
Millis,1870000,"8,086,138","85,841"
Milton,1890000,"24,783,986","82,613"
Minuteman Regional Vocational Technical,8300000,"7,520,410","96,788"
Mohawk Trail,7170000,"5,960,275","76,502"
Monomoy Regional School District,7120000,"13,284,966","75,184"
Monson,1910000,"5,088,293","60,938"
Montachusett Regional Vocational Technical,8320000,"9,266,666","79,202"
Mount Greylock,7150000,"3,620,181","79,564"
Nahant,1960000,"708,408","74,569"
Nantucket,1970000,"12,580,316","87,729"
Narragansett,7200000,"7,111,842","72,942"
Nashoba,7250000,"21,516,393","80,165"
Nashoba Valley Regional Vocational Technical,8520000,"5,101,124","79,705"
Natick,1980000,"31,443,779","77,049"
Nauset,6600000,"11,585,289","84,750"
Needham,1990000,"38,854,017","95,184"
New Bedford,2010000,"67,321,047","72,850"
New Salem-Wendell,7280000,"880,634","61,583"
Newburyport,2040000,"15,143,106","79,617"
Newton,2070000,"89,068,463","82,045"
Norfolk,2080000,"6,325,416","83,449"
Norfolk County Agricultural,9150000,"3,972,874","71,071"
North Adams,2090000,"7,906,443","63,968"
North Andover,2110000,"23,978,733","77,641"
North Attleborough,2120000,"21,948,956","76,504"
North Brookfield,2150000,"2,858,436","63,947"
North Middlesex,7350000,"17,421,787","69,995"
North Reading,2170000,"15,900,321","78,598"
Northampton,2100000,"14,221,677","61,433"
Northampton-Smith Vocational Agricultural,4060000,"3,588,528","64,081"
Northboro-Southboro,7300000,"10,049,955","87,543"
Northborough,2130000,"12,030,079","90,465"
Northbridge,2140000,"11,926,810","71,805"
Northeast Metropolitan Regional Vocational Technical,8530000,"10,228,798","88,715"
Northern Berkshire Regional Vocational Technical,8510000,"4,147,113","76,234"
Norton,2180000,"13,834,114","69,975"
Norwell,2190000,"13,891,539","84,396"
Norwood,2200000,"21,622,891","79,554"
Oak Bluffs,2210000,"4,050,935","87,117"
Old Colony Regional Vocational Technical,8550000,"4,264,301","74,812"
Old Rochester,7400000,"7,567,733","83,437"
Orange,2230000,"3,009,614","66,880"
Orleans,2240000,"1,945,772","90,082"
Oxford,2260000,"8,698,901","69,536"
Palmer,2270000,"8,212,743","69,015"
Pathfinder Regional Vocational Technical,8600000,"5,430,595","73,685"
Peabody,2290000,"35,040,192","78,477"
Pelham,2300000,"805,633","70,055"
Pembroke,2310000,"16,618,079","83,803"
Pentucket,7450000,"15,124,336","77,442"
Petersham,2340000,"638,423","56,498"
Pioneer Valley,7500000,"4,426,159","59,813"
Pittsfield,2360000,"31,474,131","67,935"
Plainville,2380000,"3,861,102","79,940"
Plymouth,2390000,"45,799,992","71,764"
Plympton,2400000,"1,345,547","73,527"
Provincetown,2420000,"1,667,186","87,287"
Quabbin,7530000,"10,466,050","70,956"
Quaboag Regional,7780000,"6,814,270","65,396"
Quincy,2430000,"56,379,174","79,846"
Ralph C Mahar,7550000,"4,038,202","65,555"
Randolph,2440000,"18,897,138","79,366"
Reading,2460000,"23,343,080","76,135"
Revere,2480000,"45,267,691","84,031"
Richmond,2490000,"1,503,587","78,312"
Rochester,2500000,"3,310,367","86,886"
Rockland,2510000,"11,931,929","68,653"
Rockport,2520000,"6,815,291","77,009"
Rowe,2530000,"490,587","61,323"
Salem,2580000,"33,633,262","94,132"
Sandwich,2610000,"16,869,930","83,972"
Saugus,2620000,"15,746,514","78,146"
Savoy,2630000,"240,506","49,083"
Scituate,2640000,"22,074,755","90,248"
Seekonk,2650000,"12,660,323","80,793"
Sharon,2660000,"23,608,227","92,007"
Shawsheen Valley Regional Vocational Technical,8710000,"11,830,658","93,081"
Sherborn,2690000,"2,969,175","90,800"
Shrewsbury,2710000,"32,410,217","78,585"
Shutesbury,2720000,"969,292","70,751"
Silver Lake,7600000,"11,461,982","84,466"
Somerset,2730000,"9,855,163","73,055"
Somerset Berkley Regional School District,7630000,"5,996,394","74,121"
Somerville,2740000,"35,845,985","82,291"
South Hadley,2780000,"10,106,128","70,181"
South Middlesex Regional Vocational Technical,8290000,"6,673,432","82,388"
South Shore Regional Vocational Technical,8730000,"4,973,864","78,083"
Southampton,2750000,"2,706,859","70,491"
Southborough,2760000,"10,114,056","94,084"
Southbridge,2770000,"13,857,478","73,514"
Southeastern Regional Vocational Technical,8720000,"10,634,568","80,261"
Southern Berkshire,7650000,"4,912,743","66,931"
Southern Worcester County Regional Vocational Technical,8760000,"8,441,803","75,373"
Southwick-Tolland-Granville Regional School District,7660000,"8,905,660","66,809"
Spencer-E Brookfield,7670000,"7,347,604","65,023"
Springfield,2810000,"136,089,082","71,001"
Stoneham,2840000,"14,044,453","74,035"
Stoughton,2850000,"24,391,914","79,272"
Sturbridge,2870000,"5,498,457","79,572"
Sudbury,2880000,"18,716,141","89,124"
Sunderland,2890000,"1,290,868","56,125"
Sutton,2900000,"7,475,765","75,437"
Swampscott,2910000,"14,625,233","76,733"
Swansea,2920000,"11,206,297","68,331"
Tantasqua,7700000,"10,864,291","78,956"
Taunton,2930000,"42,134,068","79,066"
Tewksbury,2950000,"19,661,132","75,591"
Tisbury,2960000,"3,285,505","89,523"
Topsfield,2980000,"4,259,126","87,817"
Tri-County Regional Vocational Technical,8780000,"8,289,216","87,072"
Triton,7730000,"15,589,643","77,870"
Truro,3000000,"1,225,682","75,659"
Tyngsborough,3010000,"10,484,575","82,608"
Up-Island Regional,7740000,"4,053,705","89,092"
Upper Cape Cod Regional Vocational Technical,8790000,"5,774,190","72,999"
Uxbridge,3040000,"9,514,781","86,972"
Wachusett,7750000,"34,578,832","74,636"
Wakefield,3050000,"20,542,574","79,963"
Wales,3060000,"798,801","76,808"
Walpole,3070000,"22,252,526","76,548"
Waltham,3080000,"41,196,341","79,209"
Ware,3090000,"5,793,404","63,664"
Wareham,3100000,"14,097,152","74,431"
Watertown,3140000,"21,298,878","84,086"
Wayland,3150000,"21,268,036","97,739"
Webster,3160000,"9,690,046","69,763"
Wellesley,3170000,"37,390,358","95,371"
Wellfleet,3180000,"1,229,342","83,064"
West Boylston,3220000,"6,336,921","75,982"
West Bridgewater,3230000,"7,306,058","77,724"
West Springfield,3320000,"21,668,574","65,882"
Westborough,3210000,"25,691,038","79,096"
Westfield,3250000,"30,137,425","70,359"
Westford,3260000,"30,501,943","88,694"
Westhampton,3270000,"855,405","59,403"
Weston,3300000,"18,872,764","101,652"
Westport,3310000,"8,903,921","75,012"
Westwood,3350000,"22,705,300","96,413"
Weymouth,3360000,"35,556,395","80,700"
Whately,3370000,"782,847","61,641"
Whitman-Hanson,7800000,"20,517,697","82,500"
Whittier Regional Vocational Technical,8850000,"9,696,899","85,135"
Williamsburg,3400000,"1,171,650","68,119"
Williamstown,3410000,"2,539,153","65,442"
Wilmington,3420000,"21,646,091","76,488"
Winchendon,3430000,"6,710,826","76,086"
Winchester,3440000,"28,551,815","79,245"
Winthrop,3460000,"10,535,091","79,450"
Woburn,3470000,"30,528,954","81,497"
Worcester,3480000,"145,910,759","80,587"
Worthington,3490000,"360,832","54,672"
Wrentham,3500000,"5,932,140","77,646"
State Totals,0,"5,643,231,350","80,222"
