2017-18 SAT Performance Report - Afr. Amer./Black,,,,,
District Name,District Code,sat_tests_taken_black,reading_writing_black,math_black,math_black
Pembroke,02310000,       2,,,
Pentucket,07450000,       1,,,
Phoenix Academy Public Charter High School Springfield (District),35080000,       5,,,
Phoenix Charter Academy (District),04930000,       2,,,
Pioneer Charter School of Science (District),04940000,      21,514,,559
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      15,571,,635
Pioneer Valley,07500000,       1,,,
Pioneer Valley Chinese Immersion Charter (District),04970000,       1,,,
Pioneer Valley Performing Arts Charter Public (District),04790000,       6,,,
Pittsfield,02360000,      27,506,,501
Plymouth,02390000,      15,468,,468
Prospect Hill Academy Charter (District),04870000,      72,489,,495
Quabbin,07530000,       1,,,
Quincy,02430000,      35,504,,483
Randolph,02440000,      60,459,,468
Reading,02460000,       6,,,
Revere,02480000,      32,480,,473
Rising Tide Charter Public (District),04830000,       1,,,
Rockland,02510000,       3,,,
Rockport,02520000,       1,,,
Roxbury Preparatory Charter (District),04840000,      44,498,,522
Sabis International Charter (District),04410000,      44,503,,477
Salem,02580000,      26,415,,410
Salem Academy Charter (District),04850000,       7,,,
Saugus,02620000,       6,,,
Scituate,02640000,       4,,,
Seekonk,02650000,       1,,,
Sharon,02660000,      33,538,,539
Shawsheen Valley Regional Vocational Technical,08710000,       4,,,
Shrewsbury,02710000,       9,,,
Silver Lake,07600000,       2,,,
Sizer School: A North Central Charter Essential (District),04740000,       1,,,
Somerset Berkley Regional School District,07630000,       2,,,
Somerville,02740000,      38,499,,489
South Hadley,02780000,       1,,,
South Middlesex Regional Vocational Technical,08290000,       6,,,
South Shore Charter Public (District),04880000,      26,535,,513
South Shore Regional Vocational Technical,08730000,       1,,,
Southbridge,02770000,       2,,,
Southeastern Regional Vocational Technical,08720000,      82,441,,440
Southern Worcester County Regional Vocational Technical,08760000,       4,,,
Southwick-Tolland-Granville Regional School District,07660000,       2,,,
Springfield,02810000,     529,432,,422
Stoneham,02840000,       8,,,
Stoughton,02850000,      48,497,,492
Sturgis Charter Public (District),04890000,       8,,,
Sutton,02900000,       1,,,
Swampscott,02910000,       8,,,
Taunton,02930000,      79,476,,467
Tewksbury,02950000,       6,,,
Tyngsborough,03010000,       5,,,
Upper Cape Cod Regional Vocational Technical,08790000,       1,,,
Wachusett,07750000,       8,,,
Wakefield,03050000,       8,,,
Walpole,03070000,      19,515,,491
Waltham,03080000,      53,467,,464
Wareham,03100000,       8,,,
Watertown,03140000,       6,,,
Wayland,03150000,      12,493,,482
Webster,03160000,       2,,,
Wellesley,03170000,      23,532,,530
West Boylston,03220000,       1,,,
West Bridgewater,03230000,       3,,,
West Springfield,03320000,       7,,,
Westborough,03210000,      10,498,,500
Westfield,03250000,       7,,,
Westford,03260000,       3,,,
Weston,03300000,      11,561,,565
Westport,03310000,       1,,,
Westwood,03350000,      12,555,,563
Weymouth,03360000,      14,501,,483
Whitman-Hanson,07800000,       6,,,
Whittier Regional Vocational Technical,08850000,       3,,,
Wilmington,03420000,       7,,,
Winchendon,03430000,       2,,,
Winchester,03440000,       5,,,
Winthrop,03460000,       2,,,
Woburn,03470000,      24,514,,521
Worcester,03480000,     395,461,,457
State Totals,00000000,"   6,354",477,,476
