2018 Chapter 70 Foundation Budget and Net School Spending ,,,,,,,,
District Name,District Code,Required NSS,Actual NSS,Amount Over or Under Required,Actual NSS as % of Required,Foundation Budget,Public Actual NSS as % of Foundation,
Blackstone Valley Regional Vocational Technical,08050000,"     $19,014,665.00","     $20,099,357.91","      $1,084,692.91",106,"     $18,527,694.60",108,
Blackstone-Millville,06220000,"     $19,161,030.00","     $21,564,339.95","      $2,403,309.95",113,"     $17,728,142.59",122,
Blue Hills Regional Vocational Technical,08060000,"     $14,512,296.00","     $17,403,113.00","      $2,890,817.00",120,"     $14,512,296.34",120,
Boston,00350000,"    $904,327,137.00","  $1,133,527,468.00","    $229,200,330.70",125,"    $829,896,970.50",137,
Bourne,00360000,"     $21,702,309.00","     $28,023,109.32","      $6,320,800.32",129,"     $20,067,959.03",140,
Boxford,00380000,"      $7,285,523.00","     $12,307,537.43","      $5,022,014.43",169,"      $6,728,318.95",183,
Boylston,00390000,"      $2,645,891.88","      $3,603,411.75","        $957,519.87",136,"      $2,629,403.78",137,
Braintree,00400000,"     $58,118,970.00","     $73,910,669.42","     $15,791,699.42",127,"     $58,118,969.90",127,
Brewster,00410000,"      $5,018,074.00","      $9,081,678.37","      $4,063,604.37",181,"      $4,863,009.87",187,
Bridgewater-Raynham,06250000,"     $53,715,409.00","     $62,919,709.39","      $9,204,300.39",117,"     $52,866,849.26",119,
Brimfield,00430000,"      $2,691,079.00","      $3,900,482.75","      $1,209,403.75",145,"      $2,534,076.57",154,
Bristol County Agricultural,09100000,"      $6,489,655.00","      $7,167,168.56","        $677,513.56",110,"      $6,434,258.31",111,
Bristol-Plymouth Regional Vocational Technical,08100000,"     $21,211,911.00","     $21,290,720.47","         $78,809.47",100,"     $21,211,911.43",100,
Brockton,00440000,"    $213,820,750.00","    $215,953,485.90","      $2,132,735.91",101,"    $210,658,023.20",103,
Brookfield,00450000,"      $2,456,432.00","      $3,306,848.94","        $850,416.94",135,"      $2,393,041.95",138,
Brookline,00460000,"     $75,819,883.00","    $138,427,027.20","     $62,607,144.18",183,"     $75,819,883.37",183,
Burlington,00480000,"     $35,700,016.00","     $67,400,010.51","     $31,699,994.51",189,"     $35,700,016.02",189,
Cambridge,00490000,"     $84,162,912.00","    $197,499,179.50","    $113,336,267.50",235,"     $84,055,799.77",235,
Canton,00500000,"     $33,816,148.00","     $50,082,751.96","     $16,266,603.96",148,"     $33,816,147.85",148,
Cape Cod Regional Vocational Technical,08150000,"     $10,630,019.00","     $13,362,882.10","      $2,732,863.10",126,"     $10,216,576.00",131,
Carlisle,00510000,"      $5,215,906.10","     $11,239,100.68","      $6,023,194.58",215,"      $5,148,187.65",218,
Carver,00520000,"     $18,367,057.00","     $22,583,447.34","      $4,216,390.34",123,"     $16,782,096.61",135,
Central Berkshire,06350000,"     $19,260,881.00","     $24,561,076.38","      $5,300,195.38",128,"     $16,770,478.53",146,
Chelmsford,00560000,"     $48,863,266.00","     $67,703,365.36","     $18,840,099.36",139,"     $47,405,594.17",143,
Chelsea,00570000,"     $89,180,125.00","     $94,515,205.80","      $5,335,080.80",106,"     $87,574,481.05",108,
Chesterfield-Goshen,06320000,"      $1,507,828.00","      $2,320,462.84","        $812,634.84",154,"      $1,195,139.81",194,
Chicopee,00610000,"     $91,782,958.00","     $96,604,274.91","      $4,821,316.91",105,"     $91,782,958.02",105,
Clarksburg,00630000,"      $2,430,479.00","      $2,598,788.91","        $168,309.91",107,"      $1,862,062.32",140,
Clinton,00640000,"     $21,980,121.00","     $25,986,965.04","      $4,006,844.04",118,"     $21,918,110.25",119,
Cohasset,00650000,"     $14,538,285.00","     $23,124,279.23","      $8,585,994.23",159,"     $14,375,663.80",161,
Concord,00670000,"     $18,805,577.00","     $37,952,638.57","     $19,147,061.57",202,"     $18,805,576.71",202,
Concord-Carlisle,06400000,"     $14,235,386.00","     $25,455,355.83","     $11,219,969.83",179,"     $14,235,386.19",179,
Conway,00680000,"      $1,530,121.00","      $2,159,960.77","        $629,839.77",141,"      $1,137,791.56",190,
Danvers,00710000,"     $34,994,758.44","     $53,511,091.69","     $18,516,333.24",153,"     $33,833,411.73",158,
Dartmouth,00720000,"     $39,745,959.00","     $45,061,937.36","      $5,315,978.36",113,"     $36,194,408.01",124,
Dedham,00730000,"     $27,026,024.00","     $47,177,348.42","     $20,151,324.42",175,"     $27,026,023.75",175,
Deerfield,00740000,"      $3,710,180.00","      $5,200,017.00","      $1,489,837.00",140,"      $3,148,595.10",165,
Dennis-Yarmouth,06450000,"     $37,692,857.00","     $51,045,463.42","     $13,352,606.42",135,"     $36,833,288.86",139,
Dighton-Rehoboth,06500000,"     $30,933,528.00","     $36,677,467.95","      $5,743,939.95",119,"     $28,781,591.62",127,
Douglas,00770000,"     $15,467,680.00","     $16,006,549.36","        $538,869.36",103,"     $12,935,870.45",124,
Dover,00780000,"      $4,468,986.00","     $10,790,941.85","      $6,321,955.85",241,"      $4,468,986.36",241,
Dover-Sherborn,06550000,"     $11,848,628.00","     $21,216,121.96","      $9,367,493.96",179,"     $11,848,628.16",179,
Dracut,00790000,"     $40,071,330.00","     $41,001,452.64","        $930,122.64",102,"     $37,300,000.77",110,
Dudley-Charlton Reg,06580000,"     $40,378,852.00","     $41,990,337.89","      $1,611,485.89",104,"     $37,720,695.53",111,
Duxbury,00820000,"     $29,480,335.24","     $40,015,851.77","     $10,535,516.53",136,"     $29,298,212.85",137,
East Bridgewater,00830000,"     $21,916,699.00","     $25,420,281.23","      $3,503,582.24",116,"     $21,105,299.53",120,
East Longmeadow,00870000,"     $26,517,602.00","     $36,673,811.28","     $10,156,209.28",138,"     $26,517,601.93",138,
Eastham,00850000,"      $1,913,474.00","      $4,301,750.95","      $2,388,276.95",225,"      $1,861,930.38",231,
Easthampton,00860000,"     $19,688,075.00","     $23,135,576.98","      $3,447,501.98",118,"     $18,534,768.10",125,
Easton,00880000,"     $36,583,327.00","     $46,135,394.93","      $9,552,067.93",126,"     $34,946,347.83",132,
Edgartown,00890000,"      $4,120,509.00","     $10,905,834.13","      $6,785,325.13",265,"      $4,120,509.47",265,
Erving,00910000,"      $2,270,954.00","      $5,112,556.63","      $2,841,602.63",225,"      $2,174,084.47",235,
Essex North Shore Agricultural and Technical School District,08170000,"     $16,129,989.00","     $16,417,008.37","        $287,019.37",102,"     $16,129,989.41",102,
Everett,00930000,"     $93,106,782.00","    $100,828,220.20","      $7,721,438.19",108,"     $90,558,887.12",111,
Fairhaven,00940000,"     $19,138,449.00","     $20,091,773.95","        $953,324.95",105,"     $18,758,475.28",107,
Fall River,00950000,"    $140,500,045.00","    $140,567,659.90","         $67,614.89",100,"    $140,367,627.10",100,
Falmouth,00960000,"     $35,776,347.00","     $55,404,233.67","     $19,627,886.67",155,"     $35,776,347.34",155,
Farmington River Reg,06620000,"      $2,412,721.00","      $3,892,794.99","      $1,480,073.99",161,"      $2,368,941.01",164,
Fitchburg,00970000,"     $66,887,262.00","     $67,525,472.52","        $638,210.52",101,"     $66,887,262.05",101,
Florida,00980000,"      $1,017,530.00","      $1,427,008.88","        $409,478.88",140,"        $837,564.73",170,
Foxborough,00990000,"     $30,695,556.00","     $42,333,656.56","     $11,638,100.56",138,"     $26,331,117.52",161,
Framingham,01000000,"    $101,695,118.00","    $152,578,943.60","     $50,883,825.57",150,"    $100,719,920.90",151,
Franklin,01010000,"     $64,847,925.00","     $71,882,717.58","      $7,034,792.58",111,"     $57,148,940.33",126,
Franklin County Regional Vocational Technical,08180000,"      $7,444,112.88","      $8,945,161.00","      $1,501,048.12",120,"      $7,241,932.86",124,
Freetown-Lakeville,06650000,"     $28,877,951.00","     $32,725,686.66","      $3,847,735.66",113,"     $26,949,047.13",121,
Frontier,06700000,"      $7,456,416.00","     $11,514,662.38","      $4,058,246.39",154,"      $5,732,224.09",201,
Gardner,01030000,"     $28,300,931.00","     $28,885,815.49","        $584,884.49",102,"     $28,300,931.48",102,
Gateway,06720000,"     $10,792,131.00","     $12,389,279.41","      $1,597,148.41",115,"      $9,186,465.93",135,
Georgetown,01050000,"     $14,805,321.00","     $17,552,998.75","      $2,747,677.76",119,"     $12,771,696.51",137,
Gill-Montague,06740000,"     $12,222,211.00","     $16,908,329.84","      $4,686,118.84",138,"     $11,605,184.31",146,
Gloucester,01070000,"     $35,856,788.49","     $49,856,415.48","     $13,999,626.99",139,"     $35,423,863.38",141,
Grafton,01100000,"     $30,744,578.00","     $35,606,316.17","      $4,861,738.17",116,"     $30,005,660.38",119,
Granby,01110000,"      $9,272,555.00","      $9,309,210.69","         $36,655.69",100,"      $7,516,650.88",124,
Greater Fall River Regional Vocational Technical,08210000,"     $24,285,400.41","     $23,699,000.67","       -$586,399.74",98,"     $23,441,355.21",101,
Greater Lawrence Regional Vocational Technical,08230000,"     $28,198,339.00","     $27,997,277.21","       -$201,061.79",99,"     $28,198,339.27",99,
Greater Lowell Regional Vocational Technical,08280000,"     $37,674,986.30","     $37,946,785.78","        $271,799.48",101,"     $37,509,502.79",101,
Greater New Bedford Regional Vocational Technical,08250000,"     $35,379,184.00","     $37,067,413.02","      $1,688,229.02",105,"     $35,334,771.99",105,
Greenfield,01140000,"     $21,802,164.36","     $26,922,068.88","      $5,119,904.52",123,"     $20,807,903.15",129,
Groton-Dunstable,06730000,"     $29,318,959.00","     $33,662,085.74","      $4,343,126.74",115,"     $22,374,529.72",150,
Hadley,01170000,"      $5,727,209.00","      $8,551,662.59","      $2,824,453.60",149,"      $5,654,945.38",151,
Halifax,01180000,"      $6,147,644.00","      $7,940,093.38","      $1,792,449.38",129,"      $6,142,874.29",129,
Hamilton-Wenham,06750000,"     $17,475,286.00","     $28,881,692.51","     $11,406,406.51",165,"     $16,696,408.93",173,
Hampden-Wilbraham,06800000,"     $32,549,944.00","     $40,572,038.17","      $8,022,094.17",125,"     $29,683,317.84",137,
Hampshire,06830000,"      $8,000,265.00","     $12,285,179.43","      $4,284,914.43",154,"      $7,135,055.14",172,
Hancock,01210000,"        $770,014.00","      $1,229,249.02","        $459,235.02",160,"        $672,606.53",183,
Hanover,01220000,"     $25,876,899.71","     $32,396,235.66","      $6,519,335.95",125,"     $24,249,684.48",134,
Harvard,01250000,"      $9,632,581.00","     $14,128,389.02","      $4,495,808.02",147,"      $9,274,857.15",152,
Hatfield,01270000,"      $3,689,786.00","      $5,428,147.30","      $1,738,361.30",147,"      $3,456,804.28",157,
Haverhill,01280000,"     $91,533,733.00","     $95,303,067.16","      $3,769,334.16",104,"     $91,533,733.13",104,
Hawlemont,06850000,"      $1,150,317.00","      $1,559,951.74","        $409,634.74",136,"        $948,610.30",164,
Hingham,01310000,"     $41,440,808.00","     $51,952,167.35","     $10,511,359.35",125,"     $41,440,808.00",125,
Holbrook,01330000,"     $12,805,108.00","     $17,487,234.59","      $4,682,126.59",137,"     $12,628,237.27",138,
Holland,01350000,"      $1,853,919.00","      $2,684,652.63","        $830,733.63",145,"      $1,612,152.10",167,
Holliston,01360000,"     $26,091,084.66","     $34,480,680.47","      $8,389,595.81",132,"     $25,340,457.44",136,
Holyoke,01370000,"     $81,981,181.00","     $82,230,965.08","        $249,784.08",100,"     $81,981,180.87",100,
Hopedale,01380000,"     $11,481,208.00","     $14,411,682.00","      $2,930,474.00",126,"      $9,875,547.13",146,
Hopkinton,01390000,"     $34,633,277.40","     $48,576,414.61","     $13,943,137.20",140,"     $34,051,687.92",143,
Hudson,01410000,"     $28,372,321.00","     $42,216,088.23","     $13,843,767.23",149,"     $28,097,682.16",150,
Hull,01420000,"     $12,329,034.00","     $18,609,320.22","      $6,280,286.22",151,"     $10,207,764.98",182,
Ipswich,01440000,"     $17,892,670.53","     $26,863,220.38","      $8,970,549.86",150,"     $17,585,142.68",153,
King Philip,06900000,"     $24,753,424.00","     $28,626,984.76","      $3,873,560.76",116,"     $21,686,949.86",132,
Kingston,01450000,"     $10,583,788.54","     $14,069,910.83","      $3,486,122.30",133,"     $10,083,448.84",140,
Lanesborough,01480000,"      $1,912,354.00","      $3,732,385.40","      $1,820,031.40",195,"      $1,897,447.22",197,
Lawrence,01490000,"    $189,992,671.00","    $190,850,690.90","        $858,019.89",100,"    $189,722,671.70",101,
Lee,01500000,"      $7,635,180.00","     $11,731,168.90","      $4,095,988.90",154,"      $6,757,761.96",174,
Leicester,01510000,"     $17,507,524.00","     $19,100,609.42","      $1,593,085.42",109,"     $16,281,458.22",117,
Lenox,01520000,"      $5,672,270.00","     $12,625,448.59","      $6,953,178.60",223,"      $5,339,115.73",236,
Leominster,01530000,"     $71,953,572.00","     $73,964,883.66","      $2,011,311.66",103,"     $69,633,698.05",106,
Leverett,01540000,"      $1,279,180.00","      $2,242,564.47","        $963,384.47",175,"      $1,195,068.01",188,
Lexington,01550000,"     $74,054,892.00","    $122,424,544.70","     $48,369,652.67",165,"     $74,054,892.12",165,
Lincoln,01570000,"      $6,209,957.00","     $12,939,755.00","      $6,729,798.00",208,"      $6,203,608.58",209,
Lincoln-Sudbury,06950000,"     $17,395,355.16","     $28,623,323.35","     $11,227,968.19",165,"     $17,315,388.09",165,
Littleton,01580000,"     $16,183,599.51","     $24,038,570.61","      $7,854,971.11",149,"     $15,312,226.68",157,
Longmeadow,01590000,"     $26,694,728.00","     $40,116,397.33","     $13,421,669.33",150,"     $26,663,231.19",150,
Lowell,01600000,"    $189,897,177.00","    $197,035,342.50","      $7,138,165.55",104,"    $189,897,177.00",104,
Ludlow,01610000,"     $29,081,516.00","     $39,162,781.29","     $10,081,265.29",135,"     $27,107,617.46",144,
Lunenburg,01620000,"     $16,554,528.00","     $21,483,776.19","      $4,929,248.19",130,"     $16,554,528.40",130,
Lynn,01630000,"    $202,601,784.00","    $210,401,960.50","      $7,800,176.46",104,"    $201,554,686.70",104,
Lynnfield,01640000,"     $21,694,612.00","     $31,287,952.31","      $9,593,340.31",144,"     $21,073,446.15",148,
Malden,01650000,"     $87,944,936.00","     $92,260,444.64","      $4,315,508.64",105,"     $87,320,752.24",106,
Manchester Essex Regional,06980000,"     $13,827,377.00","     $23,173,102.35","      $9,345,725.35",168,"     $13,044,522.63",178,
Mansfield,01670000,"     $46,042,749.00","     $56,476,425.48","     $10,433,676.48",123,"     $40,453,621.25",140,
Marblehead,01680000,"     $31,294,280.00","     $47,750,205.97","     $16,455,925.97",153,"     $30,825,074.04",155,
Marion,01690000,"      $4,343,664.00","      $6,687,307.14","      $2,343,643.14",154,"      $4,343,663.52",154,
Marlborough,01700000,"     $57,045,139.00","     $78,861,980.26","     $21,816,841.26",138,"     $56,761,909.56",139,
Marshfield,01710000,"     $48,181,620.00","     $51,659,591.71","      $3,477,971.71",107,"     $41,036,767.22",126,
Martha's Vineyard,07000000,"      $9,995,412.00","     $18,266,859.62","      $8,271,447.62",183,"      $8,775,465.49",208,
Masconomet,07050000,"     $20,905,132.00","     $30,208,983.87","      $9,303,851.87",145,"     $18,987,857.04",159,
Mashpee,01720000,"     $18,264,031.00","     $27,945,950.75","      $9,681,919.75",153,"     $16,431,104.57",170,
Mattapoisett,01730000,"      $4,330,976.00","      $8,106,226.53","      $3,775,250.53",187,"      $4,222,689.92",192,
Maynard,01740000,"     $14,745,073.00","     $21,813,557.08","      $7,068,484.08",148,"     $14,745,073.19",148,
Medfield,01750000,"     $25,901,693.00","     $36,499,878.21","     $10,598,185.21",141,"     $23,865,982.22",153,
Medford,01760000,"     $57,202,459.00","     $74,009,356.68","     $16,806,897.68",129,"     $54,710,623.72",135,
Medway,01770000,"     $25,344,618.00","     $30,054,081.42","      $4,709,463.42",119,"     $22,011,641.94",137,
Melrose,01780000,"     $39,294,326.00","     $40,773,697.60","      $1,479,371.60",104,"     $37,544,107.27",109,
Mendon-Upton,07100000,"     $26,185,231.00","     $30,658,058.36","      $4,472,827.36",117,"     $20,207,384.36",152,
Methuen,01810000,"     $78,021,789.00","     $84,656,241.03","      $6,634,452.03",109,"     $76,802,334.29",110,
Middleborough,01820000,"     $33,373,662.00","     $38,591,281.43","      $5,217,619.43",116,"     $29,289,460.26",132,
Middleton,01840000,"      $6,798,088.00","     $11,296,474.00","      $4,498,386.00",166,"      $6,172,360.67",183,
Milford,01850000,"     $46,388,901.00","     $55,015,435.59","      $8,626,534.60",119,"     $46,388,900.53",119,
Millbury,01860000,"     $17,780,962.00","     $25,851,297.35","      $8,070,335.35",145,"     $17,780,962.15",145,
Millis,01870000,"     $13,159,271.53","     $17,324,442.68","      $4,165,171.15",132,"     $11,737,004.51",148,
Milton,01890000,"     $39,699,383.00","     $56,264,643.82","     $16,565,260.82",142,"     $39,699,383.47",142,
Minuteman Regional Vocational Technical,08300000,"      $7,113,011.00","      $9,355,681.41","      $2,242,670.41",132,"      $6,331,977.47",148,
Mohawk Trail,07170000,"     $12,366,192.00","     $15,590,066.13","      $3,223,874.13",126,"      $9,838,051.35",158,
Monomoy Regional School District,07120000,"     $19,296,829.00","     $33,509,767.09","     $14,212,938.09",174,"     $19,283,171.95",174,
Monson,01910000,"     $12,746,461.00","     $13,721,693.58","        $975,232.58",108,"      $9,765,311.13",141,
Montachusett Regional Vocational Technical,08320000,"     $23,364,669.13","     $23,459,162.21","         $94,493.08",100,"     $23,339,671.66",101,
Mount Greylock,07150000,"      $5,593,661.00","      $9,614,833.72","      $4,021,172.72",172,"      $5,175,933.93",186,
Nahant,01960000,"      $2,640,497.00","      $3,945,819.92","      $1,305,322.92",149,"      $2,576,635.40",153,
Nantucket,01970000,"     $16,457,063.00","     $31,638,309.79","     $15,181,246.79",192,"     $16,351,990.16",193,
Narragansett,07200000,"     $15,240,685.00","     $16,558,646.80","      $1,317,961.80",109,"     $13,504,485.35",123,
Nashoba,07250000,"     $31,376,870.07","     $39,908,185.24","      $8,531,315.17",127,"     $31,083,245.78",128,
Nashoba Valley Regional Vocational Technical,08520000,"     $10,937,842.84","     $11,500,448.46","        $562,605.62",105,"     $10,765,279.84",107,
Natick,01980000,"     $53,270,058.00","     $76,153,181.62","     $22,883,123.62",143,"     $53,048,542.56",144,
Nauset,06600000,"     $13,837,228.00","     $24,927,108.29","     $11,089,880.29",180,"     $12,490,516.60",200,
Needham,01990000,"     $54,000,177.00","     $90,906,778.39","     $36,906,601.39",168,"     $54,000,176.56",168,
New Bedford,02010000,"    $169,703,516.80","    $166,299,654.00","     -$3,403,862.77",98,"    $165,003,222.20",101,
New Salem-Wendell,07280000,"      $1,440,235.00","      $2,250,585.04","        $810,350.04",156,"      $1,424,931.19",158,
Newburyport,02040000,"     $22,611,639.67","     $36,652,626.64","     $14,040,986.97",162,"     $22,572,192.43",162,
Newton,02070000,"    $131,452,274.00","    $223,214,875.20","     $91,762,601.22",170,"    $131,452,274.40",170,
Norfolk,02080000,"     $10,251,659.00","     $13,176,292.00","      $2,924,633.00",129,"      $8,254,868.14",160,
Norfolk County Agricultural,09150000,"      $4,641,301.00","      $5,255,502.00","        $614,201.00",113,"      $4,595,770.96",114,
North Adams,02090000,"     $18,822,135.00","     $20,588,289.24","      $1,766,154.25",109,"     $17,145,309.63",120,
North Andover,02110000,"     $46,586,247.00","     $54,539,299.46","      $7,953,052.46",117,"     $46,314,260.80",118,
North Attleborough,02120000,"     $46,372,904.00","     $49,853,487.16","      $3,480,583.16",108,"     $42,205,783.55",118,
North Brookfield,02150000,"      $7,066,602.00","      $7,694,760.96","        $628,158.96",109,"      $6,199,650.47",124,
North Middlesex,07350000,"     $37,404,426.00","     $44,465,365.99","      $7,060,939.99",119,"     $31,435,627.83",141,
North Reading,02170000,"     $26,905,918.00","     $34,995,579.57","      $8,089,661.57",130,"     $23,960,205.84",146,
Northampton,02100000,"     $30,539,849.00","     $38,061,131.02","      $7,521,282.02",125,"     $27,919,380.15",136,
Northampton-Smith Vocational Agricultural,04060000,"      $2,770,707.00","      $2,934,645.68","        $163,938.68",106,"      $2,248,554.72",131,
Northboro-Southboro,07300000,"     $15,768,896.65","     $20,774,630.51","      $5,005,733.87",132,"     $15,250,791.83",136,
Northborough,02130000,"     $16,400,844.04","     $27,506,059.62","     $11,105,215.58",168,"     $15,015,400.58",183,
Northbridge,02140000,"     $26,843,010.00","     $28,580,650.92","      $1,737,640.92",106,"     $23,615,219.38",121,
Northeast Metropolitan Regional Vocational Technical,08530000,"     $21,001,846.00","     $21,630,594.29","        $628,748.29",103,"     $21,001,845.72",103,
Northern Berkshire Regional Vocational Technical,08510000,"      $7,505,659.00","      $8,211,315.39","        $705,656.39",109,"      $7,333,874.61",112,
Norton,02180000,"     $28,816,680.00","     $33,182,882.96","      $4,366,202.96",115,"     $24,605,799.04",135,
Norwell,02190000,"     $20,768,273.94","     $30,762,127.90","      $9,993,853.96",148,"     $20,701,123.01",149,
Norwood,02200000,"     $36,598,980.00","     $52,827,979.17","     $16,228,999.17",144,"     $36,598,980.15",144,
Oak Bluffs,02210000,"      $4,738,202.00","      $9,889,861.16","      $5,151,659.16",209,"      $4,614,741.48",214,
Old Colony Regional Vocational Technical,08550000,"      $7,631,627.00","      $7,636,159.23","          $4,532.23",100,"      $7,132,027.56",107,
Old Rochester,07400000,"     $11,640,017.00","     $16,515,317.40","      $4,875,300.40",142,"     $11,640,017.38",142,
Orange,02230000,"      $7,137,444.00","      $7,476,140.57","        $338,696.57",105,"      $6,801,556.00",110,
Orleans,02240000,"      $2,186,403.00","      $4,826,480.35","      $2,640,077.35",221,"      $2,186,402.51",221,
Oxford,02260000,"     $19,431,960.00","     $20,820,779.53","      $1,388,819.53",107,"     $18,658,337.21",112,
Palmer,02270000,"     $17,424,198.00","     $19,949,538.12","      $2,525,340.12",114,"     $15,937,384.12",125,
Pathfinder Regional Vocational Technical,08600000,"      $9,588,526.75","     $11,266,898.23","      $1,678,371.49",118,"      $9,526,647.07",118,
Peabody,02290000,"     $64,696,254.00","     $77,465,772.92","     $12,769,518.92",120,"     $63,749,465.75",122,
Pelham,02300000,"        $850,914.00","      $1,863,262.82","      $1,012,348.82",219,"        $830,020.58",224,
Pembroke,02310000,"     $32,423,447.30","     $37,635,446.22","      $5,211,998.92",116,"     $30,076,801.77",125,
Pentucket,07450000,"     $28,985,487.00","     $33,243,659.95","      $4,258,172.95",115,"     $22,740,652.54",146,
Petersham,02340000,"      $1,004,595.00","      $1,449,523.00","        $444,928.00",144,"        $716,629.19",202,
Pioneer Valley,07500000,"      $8,873,650.00","     $12,572,446.02","      $3,698,796.02",142,"      $7,406,666.42",170,
Pittsfield,02360000,"     $68,570,958.00","     $83,674,419.53","     $15,103,461.53",122,"     $68,570,957.77",122,
Plainville,02380000,"      $7,598,939.60","     $11,036,311.02","      $3,437,371.42",145,"      $6,634,193.24",166,
Plymouth,02390000,"     $88,349,687.00","    $123,165,321.30","     $34,815,634.28",139,"     $88,349,686.53",139,
Plympton,02400000,"      $2,322,527.26","      $3,721,926.78","      $1,399,399.52",160,"      $2,208,586.39",169,
Provincetown,02420000,"      $1,374,005.00","      $4,650,090.72","      $3,276,085.72",338,"      $1,300,534.31",358,
Quabbin,07530000,"     $26,456,294.00","     $30,274,964.37","      $3,818,670.37",114,"     $21,204,474.70",143,
Quaboag Regional,07780000,"     $14,168,291.00","     $15,037,111.39","        $868,820.39",106,"     $14,168,290.71",106,
Quincy,02430000,"    $114,396,701.30","    $142,585,944.20","     $28,189,242.96",125,"    $112,465,494.00",127,
Ralph C Mahar,07550000,"      $7,996,563.00","     $10,776,084.50","      $2,779,521.50",135,"      $7,313,027.70",147,
Randolph,02440000,"     $37,100,686.00","     $52,967,329.19","     $15,866,643.19",143,"     $37,100,685.94",143,
Reading,02460000,"     $43,956,887.00","     $54,613,205.94","     $10,656,318.94",124,"     $40,268,620.86",136,
Revere,02480000,"     $92,319,355.00","     $95,294,134.13","      $2,974,779.13",103,"     $88,195,564.57",108,
Richmond,02490000,"      $1,404,954.00","      $3,317,882.82","      $1,912,928.82",236,"      $1,268,580.50",262,
Rochester,02500000,"      $4,509,373.00","      $6,572,550.55","      $2,063,177.55",146,"      $4,319,981.40",152,
Rockland,02510000,"     $26,512,692.00","     $32,912,003.96","      $6,399,311.96",124,"     $25,966,055.37",127,
Rockport,02520000,"      $7,750,759.00","     $15,370,555.28","      $7,619,796.28",198,"      $7,549,140.32",204,
