2017-18 SAT Performance Report - Afr. Amer./Black,,,,
District Name,District Code,sat_tests_taken_black,reading_writing_black,math_black
Phoenix Academy Public Charter High School Springfield (District),35080000,5,,
Phoenix Charter Academy (District),4930000,2,,
Pioneer Charter School of Science (District),4940000,21,514,559
Pioneer Charter School of Science II (PCSS-II) (District),35060000,15,571,635
Pioneer Valley,7500000,1,,
Pioneer Valley Chinese Immersion Charter (District),4970000,1,,
Pioneer Valley Performing Arts Charter Public (District),4790000,6,,
Pittsfield,2360000,27,506,501
Plymouth,2390000,15,468,468
Prospect Hill Academy Charter (District),4870000,72,489,495
Quabbin,7530000,1,,
Quincy,2430000,35,504,483
Randolph,2440000,60,459,468
Reading,2460000,6,,
Revere,2480000,32,480,473
Rising Tide Charter Public (District),4830000,1,,
Rockland,2510000,3,,
Rockport,2520000,1,,
Roxbury Preparatory Charter (District),4840000,44,498,522
Sabis International Charter (District),4410000,44,503,477
Salem,2580000,26,415,410
Salem Academy Charter (District),4850000,7,,
Saugus,2620000,6,,
Scituate,2640000,4,,
Seekonk,2650000,1,,
Sharon,2660000,33,538,539
Shawsheen Valley Regional Vocational Technical,8710000,4,,
Shrewsbury,2710000,9,,
Silver Lake,7600000,2,,
Sizer School: A North Central Charter Essential (District),4740000,1,,
Somerset Berkley Regional School District,7630000,2,,
Somerville,2740000,38,499,489
South Hadley,2780000,1,,
South Middlesex Regional Vocational Technical,8290000,6,,
South Shore Charter Public (District),4880000,26,535,513
South Shore Regional Vocational Technical,8730000,1,,
Southbridge,2770000,2,,
Southeastern Regional Vocational Technical,8720000,82,441,440
Southern Worcester County Regional Vocational Technical,8760000,4,,
Southwick-Tolland-Granville Regional School District,7660000,2,,
Springfield,2810000,529,432,422
Stoneham,2840000,8,,
Stoughton,2850000,48,497,492
Sturgis Charter Public (District),4890000,8,,
Sutton,2900000,1,,
Swampscott,2910000,8,,
Taunton,2930000,79,476,467
Tewksbury,2950000,6,,
Tyngsborough,3010000,5,,
Upper Cape Cod Regional Vocational Technical,8790000,1,,
Wachusett,7750000,8,,
Wakefield,3050000,8,,
Walpole,3070000,19,515,491
Waltham,3080000,53,467,464
Wareham,3100000,8,,
Watertown,3140000,6,,
Wayland,3150000,12,493,482
Webster,3160000,2,,
Wellesley,3170000,23,532,530
West Boylston,3220000,1,,
West Bridgewater,3230000,3,,
West Springfield,3320000,7,,
Westborough,3210000,10,498,500
Westfield,3250000,7,,
Westford,3260000,3,,
Weston,3300000,11,561,565
Westport,3310000,1,,
Westwood,3350000,12,555,563
Weymouth,3360000,14,501,483
Whitman-Hanson,7800000,6,,
Whittier Regional Vocational Technical,8850000,3,,
Wilmington,3420000,7,,
Winchendon,3430000,2,,
Winchester,3440000,5,,
Winthrop,3460000,2,,
Woburn,3470000,24,514,521
Worcester,3480000,395,461,457
State Totals,0,"6,354",477,476
