Org Name,Org Code,Org Type,Title I Status,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax
Boston Green Academy Horace Mann Charter School (District),04110000,Charter District,Title I District,Charter School Leader,Matthew Holzer,20 Warren St.,,Brighton,MA,02135,617-635-9860,617-635-9858
Boston Preparatory Charter Public (District),04160000,Charter District,Title I District,Charter School Leader,Sharon Liszanckie,885 River Street,,Hyde Park,MA,02136,617-333-6688,617-333-6689
Boston Renaissance Charter Public (District),04810000,Charter District,Title I District,Charter School Leader,Alexandra Banhares-Buckmire,1415 Hyde Park Ave,,Hyde Park,MA,02136,617-357-0900,617-357-0949
Bourne,00360000,Public School District,Title I District,Superintendent,Kerri Quinlan-Zhou,36 Sandwich Rd,,Bourne,MA,02532,508-759-0660,508-759-1107
Boxborough (non-op),00370000,Public School District,Non-Title I District,Superintendent,Peter Light,493 Massachusetts Avenue,,Boxborough,MA,01719,978-263-4569,978-263-0477
Boxford,00380000,Public School District,Title I District,Superintendent,Scott Morrison,28 Middleton Road,,Boxford,MA,01921,978-887-0771,978-887-8042
Boylston (non-op),00390000,Public School District,Non-Title I District,Superintendent,Jeffrey Zanghi,215 Main Street,,Boylston,MA,01505,508-869-2837,508-869-0023
Braintree,00400000,Public School District,Title I District,Superintendent,Frank Hackett,348 Pond Street,,Braintree,MA,02184,781-380-0130,781-380-0146
Brewster,00410000,Public School District,Title I District,Superintendent,Thomas Conrad,78 Eldredge Pkwy,,Orleans,MA,02653,508-255-8800,508-240-2351
Bridge Boston Charter School (District),04170000,Charter District,Title I District,Charter School Leader,Craig Martin,435 Warren St.,,Roxbury,MA,02119,857-229-1601,--
Bridgewater (non-op),00420000,Public School District,Non-Title I District,Superintendent,Derek Swenson,166 Mt. Prospect Street,,Bridgewater,MA,02324,508-279-2140,508-697-7012
Bridgewater-Raynham,06250000,Public School District,Title I District,Superintendent,Derek Swenson,166 Mt. Prospect Street,,Bridgewater,MA,02324,508-279-2140,508-697-7012
Brimfield,00430000,Public School District,Title I District,Superintendent,Erin Nosek,320A Brookfield Rd,,Fiskdale,MA,01518,508-347-3077,508-347-2697
Bristol County Agricultural,09100000,Public School District,Title I District,Superintendent,Adele Sands,135 Center Street,,Dighton,MA,02715,508-669-6744,508-669-6747
Bristol-Plymouth Regional Vocational Technical,08100000,Public School District,Title I District,Superintendent,Alexandre Magalhaes,207 Hart Street,,Taunton,MA,02780,508-823-5151,508-880-7287
Brockton,00440000,Public School District,Title I District,Superintendent,Michael Thomas,43 Crescent Street,,Brockton,MA,02301,508-580-7000,508-580-7513
Brooke Charter School (District),04280000,Charter District,Title I District,Charter School Leader,Jon Clark,190 Cummins Highway,,Roslindale,MA,02131,617-325-7977,617-325-2260
Brookfield,00450000,Public School District,Title I District,Superintendent,Erin Nosek,320 Brookfield Rd,,Fiskdale,MA,01518,508-347-3077,508-347-2697
Brookline,00460000,Public School District,Title I District,Superintendent,Jim Marini,333 Washington Street,,Brookline,MA,02445,617-730-2403,617-730-2601
Buckland (non-op),00470000,Public School District,Non-Title I District,Superintendent,Michael Buoniconti,24 Ashfield Rd,,Shelburne Falls,MA,01370,413-625-0192,413-625-0196
Burlington,00480000,Public School District,Title I District,Superintendent,Eric Conti,123 Cambridge Street,,Burlington,MA,01803,781-270-1801,781-270-1773
Cambridge,00490000,Public School District,Title I District,Superintendent,Kenneth Salim,135 Berkshire Street,,Cambridge,MA,02141,617-349-6494,617-349-6496
Canton,00500000,Public School District,Title I District,Superintendent,Jennifer Fischer-Mueller,960 Washington Street,,Canton,MA,02021,781-821-5060,781-575-6500
Cape Cod Lighthouse Charter (District),04320000,Charter District,Title I District,Charter School Leader,Paul Niles,195 Route 137,,East Harwich,MA,02645,774-408-7994,774-237-9041
Cape Cod Regional Vocational Technical,08150000,Public School District,Title I District,Superintendent,Robert Sanborn,351 Pleasant Lake Avenue,,Harwich,MA,02645,508-432-4500,508-432-7916
Carlisle,00510000,Public School District,Title I District,Superintendent,James O'Shea,83 School Street,,Carlisle,MA,01741,978-369-6550,978-371-2400
Carver,00520000,Public School District,Title I District,Superintendent,Scott Knief,3 Carver Square Blvd.,,Carver,MA,02330,508-866-6160,508-866-2920
Central Berkshire,06350000,Public School District,Title I District,Superintendent,Leslie Blake-Davis,PO Box 299,Rt 8,Dalton,MA,01227,413-684-0320,413-684-4088
Charlemont (non-op),00530000,Public School District,Non-Title I District,Superintendent,Michael Buoniconti,24 Ashfield Rd,,Shelburne Falls,MA,01370,413-625-0192,413-625-0196
Charlton (non-op),00540000,Public School District,Non-Title I District,Superintendent,Gregg Desto,68 Dudley Oxford Road,,Dudley,MA,01571,508-943-6888,508-943-1077
Chatham (non-op),00550000,Public School District,Non-Title I District,Superintendent,Scott Carpenter,425 Crowell Rd,,Chatham,MA,02633,508-945-5130,508-945-5133
Chelmsford,00560000,Public School District,Title I District,Superintendent,Roger Lang,230 North Road,,Chelmsford,MA,01824,978-251-5100,978-251-5110
Chelsea,00570000,Public School District,Title I District,Superintendent,Almudena Abeyta,500 Broadway,Room 216,Chelsea,MA,02150,617-466-4477,617-889-8361
Cheshire (non-op),00580000,Public School District,Non-Title I District,Superintendent,Kristen Gordon,191 Church Street,,Cheshire,MA,01225,413-743-2939,413-743-4135
Chester (non-op),00590000,Public School District,Non-Title I District,Superintendent,David Hopson,12 Littleville Road,,Huntington,MA,01050,413-685-1011,413-667-8739
Chesterfield (non-op),00600000,Public School District,Non-Title I District,Superintendent,Craig Jurgensen,19 Stage Rd,,Westhampton,MA,01027,413-527-7200,413-529-9497
Chesterfield-Goshen,06320000,Public School District,Non-Title I District,Superintendent,Aaron Osborne,PO Box 300,,Chesterfield,MA,01012,413-527-7200,413-529-9497
Chicopee,00610000,Public School District,Title I District,Superintendent,Lynn Clark,180 Broadway Street,,Chicopee,MA,01020,413-594-3410,413-594-3552
Chilmark (non-op),00620000,Public School District,Non-Title I District,Superintendent,Matthew D'Andrea,4 Pine Street,,Vineyard Haven,MA,02568,508-693-2007,508-693-3190
Christa McAuliffe Charter Public (District),04180000,Charter District,Title I District,Charter School Leader,Frank Tipton,139 Newbury St,,Framingham,MA,01701,508-879-9000,508-471-3135
City on a Hill Charter Public School Circuit Street (District),04370000,Charter District,Title I District,Charter School Leader,Kevin Taylor,15 Allerton Street,Suite 1,Roxbury,MA,02119,617-445-9457,--
City on a Hill Charter Public School Dudley Square (District),35040000,Charter District,Title I District,Charter School Leader,Kevin Taylor,58 Circuit Strert,,Roxbury,MA,02119,617-445-1515,--
City on a Hill Charter Public School New Bedford (District),35070000,Charter District,Title I District,Charter School Leader,Kevin Taylor,58 Circuit Strert,,Boston,MA,02119,617-445-1515,--
Clarksburg,00630000,Public School District,Title I District,Superintendent,John Franzoni,777 West Crossroad,,Clarksburg,MA,01247,413-664-8735,413-664-8735
Clinton,00640000,Public School District,Title I District,Superintendent,Steven Meyer,150 School Street,,Clinton,MA,01510,978-365-4200,978-365-5037
Codman Academy Charter Public (District),04380000,Charter District,Title I District,Charter School Leader,Thabiti Brown,637 Washington Street,,Dorchester,MA,02124,617-287-0700,617-287-9064
Cohasset,00650000,Public School District,Title I District,Superintendent,Patrick Sullivan,143 Pond Street,,Cohasset,MA,02025,781-383-6112,781-383-6507
Collegiate Charter School of Lowell (District),35030000,Charter District,Title I District,Charter School Leader,Laurie Hodgdon,1857 Middlesex Street,,Lowell,MA,01851,978-458-1399,978-458-1366
Colrain (non-op),00660000,Public School District,Non-Title I District,Superintendent,Michael Buoniconti,24 Ashfield Rd,,Shelburne Falls,MA,01370,413-625-0192,413-625-0196
Community Charter School of Cambridge (District),04360000,Charter District,Title I District,Charter School Leader,Rebecca Norris,245 Bent Street,,Cambridge,MA,02141,617-354-0047,617-354-3624
Community Day Charter Public School - Gateway (District),04260000,Charter District,Title I District,Charter School Leader,Mary Chance,190 Hampshire Street,,Lawrence,MA,01840,978-722-2538,978-686-9382
Community Day Charter Public School - Prospect (District),04400000,Charter District,Title I District,Charter School Leader,Mary Chance,190 Hampshire Street,,Lawrence,MA,01840,978-722-2538,978-681-5838
Community Day Charter Public School - R. Kingman Webster (District),04310000,Charter District,Title I District,Charter School Leader,Mary Chance,190 Hampshire Street,,Lawrence,MA,01840,978-686-9327,978-687-0513
Concord,00670000,Public School District,Title I District,Superintendent,Laurie Hunter,120 Meriam Rd,,Concord,MA,01742,978-318-1500,978-318-1537
Concord-Carlisle,06400000,Public School District,Title I District,Superintendent,Laurie Hunter,120 Meriam Rd,,Concord,MA,01742,978-341-2490,978-318-1537
Conservatory Lab Charter (District),04390000,Charter District,Title I District,Charter School Leader,John Chistolini,2120 Dorchester Avenue,,Dorchester,MA,02124,617-254-8904,617-254-8909
Conway,00680000,Public School District,Non-Title I District,Superintendent,Darius Modestow,"113 North Main Street, Office C101",,South Deerfield,MA,01373,413-665-1155,413-665-8506
Cummington (non-op),00690000,Public School District,Non-Title I District,Superintendent,Laurie Casna,254 Hinsdale Road,Box 299,Dalton,MA,01227,413-684-0320,413-684-4088
Dalton (non-op),00700000,Public School District,Non-Title I District,Superintendent,Laurie Casna,PO Box 299,,Dalton,MA,01227,413-684-0320,413-684-4088
Danvers,00710000,Public School District,Title I District,Superintendent,Lisa Dana,64 Cabot Road,,Danvers,MA,01923,978-777-4539,978-777-8931
Dartmouth,00720000,Public School District,Title I District,Superintendent,Bonny Gifford,8 Bush Street,,Dartmouth,MA,02748,508-997-3391,508-991-4184
Dedham,00730000,Public School District,Title I District,Superintendent,Michael Welch,100 Whiting Avenue,,Dedham,MA,02026,781-310-1000,781-320-0193
Deerfield,00740000,Public School District,Title I District,Superintendent,Darius Modestow,"113 North Main Street, Office C101",,South Deerfield,MA,01373,413-665-1155,413-665-8506
Dennis (non-op),00750000,Public School District,Non-Title I District,Superintendent,Carol Woodbury,296 Station Avenue,,South Yarmouth,MA,02664,508-398-7605,508-398-7622
Dennis-Yarmouth,06450000,Public School District,Title I District,Superintendent,Carol Woodbury,296 Station Avenue,,South Yarmouth,MA,02664,508-398-7600,508-398-7622
Devens (non-op),03520000,Public School District,Non-Title I District,Superintendent,Linda Dwight,270 Barnum Rd,,Devens,MA,01432,978-772-6340,978-772-7577
Dighton (non-op),00760000,Public School District,Non-Title I District,Superintendent,Anthony Azar,2700 Regional Road,,North Dighton,MA,02764,508-252-5000,508-252-5024
Dighton-Rehoboth,06500000,Public School District,Title I District,Superintendent,Anthony Azar,2700 Regional Road,,North Dighton,MA,02764,508-252-5000,508-252-5024
Douglas,00770000,Public School District,Title I District,Superintendent,Paul Vieira,21 Davis Street,,Douglas,MA,01516,508-476-7901,508-476-4423
Dover,00780000,Public School District,Title I District,Superintendent,Andrew Keough,157 Farm Street,,Dover,MA,02030,508-785-0036,508-785-2239
Dover-Sherborn,06550000,Public School District,Title I District,Superintendent,Andrew Keough,157 Farm Street,,Dover,MA,02030,508-785-0036,508-785-2239
Dracut,00790000,Public School District,Title I District,Superintendent,Steven Stone,2063 Lakeview Avenue,,Dracut,MA,01826,978-957-2660,978-957-2682
Dudley (non-op),00800000,Public School District,Non-Title I District,Superintendent,Gregg Desto,68 Dudley Oxford Road,,Dudley,MA,01571,508-943-6888,508-943-1077
Dudley Street Neighborhood Charter School (District),04070000,Charter District,Title I District,Charter School Leader,Jesse Solomon,6 Shirley Street,,Boston,MA,02119,617-635-8507,617-635-6320
Dudley-Charlton Reg,06580000,Public School District,Title I District,Superintendent,Steven Lamarche,68 Dudley Oxford Road,,Dudley,MA,01571,508-943-6888,508-943-1077
Dunstable (non-op),00810000,Public School District,Non-Title I District,Superintendent,Laura Chesson,344 Main Street,,Groton,MA,01450,978-448-5505,978-448-9402
Duxbury,00820000,Public School District,Title I District,Superintendent,John Antonucci,93 Chandler Street,,Duxbury,MA,02332,781-934-7600,781-934-7644
East Bridgewater,00830000,Public School District,Title I District,Superintendent,Elizabeth Legault,143 Plymouth Street,,East Bridgewater,MA,02333,508-378-8200,508-378-8225
East Brookfield (non-op),00840000,Public School District,Non-Title I District,Superintendent,Paul Haughey,306 Main Street,,Spencer,MA,01562,508-885-8500,508-885-8504
East Longmeadow,00870000,Public School District,Title I District,Superintendent,Gordon Smith,180 Maple Street,,East Longmeadow,MA,01028,413-525-5450,413-525-5456
Eastham,00850000,Public School District,Title I District,Superintendent,Thomas Conrad,78 Eldredge Pkwy,,Orleans,MA,02653,508-255-8800,508-240-2351
Easthampton,00860000,Public School District,Title I District,Superintendent,Allison Leclair,50 Payson Avenue,Second Floor,Easthampton,MA,01027,413-529-1500,413-529-1567
Easton,00880000,Public School District,Title I District,Superintendent,Lisha Cabral,50 Oliver Street,,North Easton,MA,02356,508-230-3200,508-238-3563
Edgartown,00890000,Public School District,Title I District,Superintendent,Matthew D'Andrea,4 Pine Street,,Vineyard Haven,MA,02568,508-693-2007,508-693-3190
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,Charter District,Title I District,Charter School Leader,Caren Walker Gregory,360 Huntington Avenue,c/o 102 Cahners Hall,Boston,MA,02115,617-373-8576,617-373-7850
Egremont (non-op),00900000,Public School District,Non-Title I District,Superintendent,Beth Regulbuto,PO Box 339,,Sheffield,MA,01257,413-229-8734,413-229-2913
Erving,00910000,Public School District,Title I District,Superintendent,Jennifer Culkeen,18 Pleasant Street,,Erving,MA,01344,413-423-3337,413-423-3236
Essex (non-op),00920000,Public School District,Non-Title I District,Superintendent,Pamela Beaudoin,36 Lincoln Street,P. O. Box 1407,Manchester,MA,01944,978-526-4919,--
Essex North Shore Agricultural and Technical School District,08170000,Public School District,Title I District,Superintendent,Heidi Riccio,565 Maple Street,P.O. Box 346,Hathorne,MA,01937,978-304-4700,--
Everett,00930000,Public School District,Title I District,Superintendent,Priya Tahiliani,121 Vine Street,,Everett,MA,02149,617-389-7950,617-394-2408
Excel Academy Charter (District),04100000,Charter District,Title I District,Charter School Leader,Owen Stearns,58 Moore Street,,East Boston,MA,02128,617-874-4080,617-674-3436
Fairhaven,00940000,Public School District,Title I District,Superintendent,Robert Baldwin,128 Washington Street,,Fairhaven,MA,02719,508-979-4000,508-979-4149
Fall River,00950000,Public School District,Title I District,Superintendent,Matthew Malone,417 Rock Street,,Fall River,MA,02720,508-675-8420,508-675-8462
Falmouth,00960000,Public School District,Title I District,Superintendent,Lori Duerr,340 Teaticket Hwy,,East Falmouth,MA,02536,508-548-0151,508-457-9032
Farmington River Reg,06620000,Public School District,Title I District,Superintendent,Thomas Nadolny,555 N Main Street,PO Box 679,Otis,MA,01253,413-269-4466,413-269-7659
Fitchburg,00970000,Public School District,Title I District,Superintendent,Robert Jokela,376 South Street,,Fitchburg,MA,01420,978-345-3200,978-348-2305
Florida,00980000,Public School District,Title I District,Superintendent,John Franzoni,56 North County Rd,,Florida,MA,01247,413-664-6023,413-663-3593
Four Rivers Charter Public (District),04130000,Charter District,Title I District,Charter School Leader,Peter Garbus,248 Colrain Road,,Greenfield,MA,01301,413-775-4577,413-775-4578
Foxborough,00990000,Public School District,Title I District,Superintendent,Amy Berdos,60 South Street,C/O Igo Administration Building,Foxborough,MA,02035,508-543-1660,508-543-4793
Foxborough Regional Charter (District),04460000,Charter District,Title I District,Charter School Leader,Mark Logan,131 Central Street,35 Commercial Street,Foxborough,MA,02035,508-543-2508,508-543-7982
Framingham,01000000,Public School District,Title I District,Superintendent,Robert Tremblay,73 Mt. Wayte Avenue,Suite 5,Framingham,MA,01702,508-626-9118,508-877-4240
Francis W. Parker Charter Essential (District),04780000,Charter District,Non-Title I District,Charter School Leader,Todd Sumner,49 Antietam Street,,Devens,MA,01434,978-772-3293,978-772-3295
Franklin,01010000,Public School District,Title I District,Superintendent,Sara Ahern,355 East Central Street,,Franklin,MA,02038,508-541-5243,508-553-0321
Franklin County Regional Vocational Technical,08180000,Public School District,Title I District,Superintendent,Richard Martin,82 Industrial Blvd,,Turners Falls,MA,01376,413-863-9561,413-863-2816
Freetown (non-op),01020000,Public School District,Non-Title I District,Superintendent,Richard Medeiros,98 Howland Rd,,Lakeville,MA,02347,508-923-2000,508-923-0934
Freetown-Lakeville,06650000,Public School District,Title I District,Superintendent,Richard Medeiros,98 Howland Rd,,Lakeville,MA,02347,508-923-2000,508-923-0934
Frontier,06700000,Public School District,Title I District,Superintendent,Darius Modestow,"113 North Main Street, Office C101",,South Deerfield,MA,01373,413-665-1155,413-665-8506
Gardner,01030000,Public School District,Title I District,Superintendent,Mark Pellegrino,70 Waterford Street,,Gardner,MA,01440,978-632-1000,978-632-1164
Gateway,06720000,Public School District,Title I District,Superintendent,David Hopson,12 Littleville Road,,Huntington,MA,01050,413-685-1000,413-667-8739
Georgetown,01050000,Public School District,Title I District,Superintendent,Carol Jacobs,51 North Street,,Georgetown,MA,01833,978-352-5777,978-352-5778
Gill (non-op),01060000,Public School District,Non-Title I District,Superintendent,Michael Sullivan,35 Crocker Avenue,,Turners Falls,MA,01376,413-863-9324,413-863-4560
Gill-Montague,06740000,Public School District,Title I District,Superintendent,Brian Beck,35 Crocker Avenue,,Turners Falls,MA,01376,413-863-9324,413-863-4560
Global Learning Charter Public (District),04960000,Charter District,Title I District,Charter School Leader,Stephen Furtado,190 Ashley Boulevard,,New Bedford,MA,02746,508-991-4105,508-991-4110
Gloucester,01070000,Public School District,Title I District,Superintendent,Ben Lummis,2 Blackburn Drive,,Gloucester,MA,01930,978-281-9800,978-281-9899
Goshen (non-op),01080000,Public School District,Non-Title I District,Superintendent,Craig Jurgensen,19 Stage Rd,,Westhampton,MA,01027,413-527-7200,413-529-9497
Gosnold,01090000,Public School District,Non-Title I District,Superintendent,Margaret Frieswyk,263 Hill & Plain Road,,East Falmouth,MA,02536,508-400-4687,--
Grafton,01100000,Public School District,Title I District,Superintendent,James Cummings,30 Providence Rd,,Grafton,MA,01519,508-839-5421,508-839-7618
Granby,01110000,Public School District,Title I District,Superintendent,Carol Hepworth,387 East State Street,,Granby,MA,01033,413-467-7193,413-467-3909
Granville (non-op),01120000,Public School District,Non-Title I District,Superintendent,Jennifer Willard,86 Powder Mill Road,,Southwick,MA,01077,413-569-5391,413-569-1711
Great Barrington (non-op),01130000,Public School District,Non-Title I District,Superintendent,Peter Dillon,207 Pleasant Street,PO Box 596,Housatonic,MA,01236,413-274-6400,--
Greater Fall River Regional Vocational Technical,08210000,Public School District,Title I District,Superintendent,Elvio Ferreira,251 Stonehaven Rd,,Fall River,MA,02723,508-678-2891,508-679-6423
Greater Lawrence Regional Vocational Technical,08230000,Public School District,Title I District,Superintendent,John Lavoie,57 River Rd,,Andover,MA,01810,978-686-0194,978-687-6209
